ID,DateOfBite,Date,Year,Month,Season,Species,Breed,CrossBreed,Age,Gender,SpayNeuter,Borough
1,January 01 2015,01/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,6,M,FALSE,Brooklyn
2,January 01 2015,01/01/2015,2015,01,Winter,DOG,BULL DOG,FALSE,3,F,FALSE,Queens
3,January 01 2015,01/01/2015,2015,01,Winter,DOG,DACHSCHUND,FALSE,1,F,FALSE,Other
4,January 01 2015,01/01/2015,2015,01,Winter,DOG,DACHSCHUND,FALSE,8,M,FALSE,Manhattan
5,January 01 2015,01/01/2015,2015,01,Winter,DOG,MIXED,TRUE,10,M,TRUE,Manhattan
6,January 02 2015,02/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,3,M,TRUE,Manhattan
7,January 02 2015,02/01/2015,2015,01,Winter,DOG,DACHSCHUND,FALSE,10,M,FALSE,Other
8,January 02 2015,02/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,3,M,TRUE,Queens
9,January 02 2015,02/01/2015,2015,01,Winter,DOG,POODLE,FALSE,3,M,TRUE,Brooklyn
10,January 02 2015,02/01/2015,2015,01,Winter,DOG,SHIH TZU,FALSE,5,F,FALSE,Queens
11,January 03 2015,03/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,M,FALSE,Brooklyn
12,January 03 2015,03/01/2015,2015,01,Winter,DOG,BICHON FRISE,FALSE,4,F,TRUE,Queens
13,January 03 2015,03/01/2015,2015,01,Winter,DOG,COCKER SPANIEL,FALSE,6,M,TRUE,Other
14,January 03 2015,03/01/2015,2015,01,Winter,DOG,SIBERIAN HUSKY,FALSE,6,M,FALSE,Queens
15,January 03 2015,03/01/2015,2015,01,Winter,DOG,UNKNOWN,FALSE,1,F,FALSE,Bronx
16,January 04 2015,04/01/2015,2015,01,Winter,DOG,CHIHUAHUA MIX,TRUE,5,M,TRUE,Manhattan
17,January 04 2015,04/01/2015,2015,01,Winter,DOG,COCKER SPANIEL MIX,TRUE,4,M,TRUE,Queens
18,January 04 2015,04/01/2015,2015,01,Winter,DOG,MORKIE,FALSE,1,M,FALSE,Brooklyn
19,January 04 2015,04/01/2015,2015,01,Winter,DOG,SHIH TZU,FALSE,2,M,FALSE,Manhattan
20,January 04 2015,04/01/2015,2015,01,Winter,DOG,SHIH TZU MIX,TRUE,2,M,FALSE,Queens
21,January 05 2015,05/01/2015,2015,01,Winter,DOG,AMERICAN PITBULL MIX,TRUE,1,F,FALSE,Brooklyn
22,January 05 2015,05/01/2015,2015,01,Winter,DOG,CHIHUAHUA,FALSE,1,M,FALSE,Brooklyn
23,January 05 2015,05/01/2015,2015,01,Winter,DOG,SHIH TZU,FALSE,3,M,TRUE,Brooklyn
24,January 05 2015,05/01/2015,2015,01,Winter,DOG,SHIH TZU,FALSE,4,F,FALSE,Brooklyn
25,January 06 2015,06/01/2015,2015,01,Winter,DOG,LABRADOODLE,FALSE,2,M,TRUE,Manhattan
26,January 07 2015,07/01/2015,2015,01,Winter,DOG,COLLIE MIX,TRUE,2,M,FALSE,Manhattan
27,January 07 2015,07/01/2015,2015,01,Winter,DOG,MUTT,FALSE,4,M,FALSE,Bronx
28,January 07 2015,07/01/2015,2015,01,Winter,DOG,PIT BULL,FALSE,2,M,TRUE,Queens
